uniqId,sku,title,category
b6c0b6bea69c722939585baeac73c13d,pp5006380337,Alfred Dunner® Essential Pull On Capri Pant,alfred dunner
93e5272c51d8cce02597e3ce67b7ad0a,pp5006380337,Alfred Dunner® Essential Pull On Capri Pant,alfred dunner
013e320f2f2ec0cf5b3ff5418d688528,pp5006380337,Alfred Dunner® Essential Pull On Capri Pant,view all
505e6633d81f2cb7400c0cfa0394c427,pp5006380337,Alfred Dunner® Essential Pull On Capri Pant,view all
d969a8542122e1331e304b09f81a83f6,pp5006380337,Alfred Dunner® Essential Pull On Capri Pant,view all
cf73bb2bd93bbd6e1bdf48d399992270,pp5006380337,Alfred Dunner® Essential Pull On Capri Pant,deals
8ffd0ef4fcaf1a82fb514aba5d20e05b,pp5006790247,Alfred Dunner® Feels Like Spring 3/4 Sleeve Leaf Print Top,view all
4d9337e3c8f974d3c420cdc5c58b3fc3,pp5007090172,Alfred Dunner® Feels Like Spring 3/4-Sleeve Leaf Striped Tee - Plus,skechers
44f8f8f108c6856acf9630dd1d78516d,pp5007080134,Alfred Dunner® Feels Like Spring 3/4-Sleeve Watercolor Print Shirt or Pull-On Cargo Capris,search-results
8d1d057f5f808c10ce243c222ab0ef6e,pp5007080134,Alfred Dunner® Feels Like Spring 3/4-Sleeve Watercolor Print Shirt or Pull-On Cargo Capris,outfits you'll love
f3e02c48f16b56e8c1f126c8fe762812,pp5007080134,Alfred Dunner® Feels Like Spring 3/4-Sleeve Watercolor Print Shirt or Pull-On Cargo Capris,outfits you'll love
5abf9d28e9e0404369ece10807d99d0e,pp5006790242,Alfred Dunner® Feels Like Spring Capris,capris & crops
82d8a9a627e55ba97a1051068c9823e7,pp5006790242,Alfred Dunner® Feels Like Spring Capris,view all
7b16da6eaeca0ae2d107e712cfe5141d,pp5006790242,Alfred Dunner® Feels Like Spring Capris,sale
dc414a69fee993fd20d74a979dfea23d,pp5006790242,Alfred Dunner® Feels Like Spring Capris,shorts & capris
3c291110238ee460390c7002e4622ade,pp5006790695,Alfred Dunner® Feels Like Spring Short-Sleeve Burnout Top and Necklace,tops
5d8646dbb6d4561dd5f9176f2632edc3,pp5006790695,Alfred Dunner® Feels Like Spring Short-Sleeve Burnout Top and Necklace,shirts & blouses
ca61adb53a4b26f605f10fab385bea09,pp5006790695,Alfred Dunner® Feels Like Spring Short-Sleeve Burnout Top and Necklace,sale
72f8aa81a2364e6cd5bff45979aefc33,pp5007090174,Alfred Dunner® Feels Like Spring Short-Sleeve Center Scroll Embroidery Top - Plus,tops
8788fc9cc455895a1de9fb076bd3d606,pp5007090174,Alfred Dunner® Feels Like Spring Short-Sleeve Center Scroll Embroidery Top - Plus,tops
c5447761938ad6a34d76b86ba292892b,pp5007090174,Alfred Dunner® Feels Like Spring Short-Sleeve Center Scroll Embroidery Top - Plus,t-shirts & knit tops
8ffef8855eebe54189be7bac72ed85ef,pp5007090174,Alfred Dunner® Feels Like Spring Short-Sleeve Center Scroll Embroidery Top - Plus,sale
be7764fc14845ec35d5e1633835040fe,pp5006790780,Alfred Dunner® Feels Like Spring Short Sleeve Chevron Texture 2Fer Shirt,alfred dunner
0e0d413e95710119c51a0db8522a2482,pp5006790780,Alfred Dunner® Feels Like Spring Short Sleeve Chevron Texture 2Fer Shirt,cardigans & shrugs
8149f96381ad38bc848c1c12b7ad3228,pp5007080135,Alfred Dunner® Feels Like Spring Short-Sleeve Diamond Print Tee or Pull-On Cargo Capris,alfred dunner
ca3aed29b3601cfa80af58a05997dde4,pp5007080135,Alfred Dunner® Feels Like Spring Short-Sleeve Diamond Print Tee or Pull-On Cargo Capris,alfred dunner
9c2bfcff2dff4ce8dd8699619c2b61ec,pp5007080135,Alfred Dunner® Feels Like Spring Short-Sleeve Diamond Print Tee or Pull-On Cargo Capris,outfits you'll love
e498aa2384360f0787701fe4ed07d8d7,pp5007080135,Alfred Dunner® Feels Like Spring Short-Sleeve Diamond Print Tee or Pull-On Cargo Capris,outfits you'll love
fbca0b12f075c2c299ab789b76384ec9,pp5007080135,Alfred Dunner® Feels Like Spring Short-Sleeve Diamond Print Tee or Pull-On Cargo Capris,outfits you'll love
0bd52529aabbb72259a9b22d38a0f4a6,pp5007080135,Alfred Dunner® Feels Like Spring Short-Sleeve Diamond Print Tee - Plus,view all
4cf14c20198ed2878bb4ac0519bded7a,pp5007080135,Alfred Dunner® Feels Like Spring Short-Sleeve Diamond Print Tee - Plus,view all
d18479624a12f51d651bb2492243b0c7,pp5006790251,Alfred Dunner® Feels Like Spring Short-Sleeve Diamond Print Top or Capris,outfits you'll love
4f6d3fcd5d7a7da811cca969e074db52,pp5006790251,Alfred Dunner® Feels Like Spring Short-Sleeve Diamond Print Top or Capris,outfits you'll love
40a2c1b7e4da323970d7568fbbbf1797,pp5006790251,Alfred Dunner® Feels Like Spring Short-Sleeve Diamond Print Top or Capris,outfits you'll love
8a6639a5bb4f164f41d4652d6ab8c70d,pp5006790251,Alfred Dunner® Feels Like Spring Short-Sleeve Diamond Print Top or Capris,view all
9e6a99f8c18f0f17f7ec23931205245f,pp5006790251,Alfred Dunner® Feels Like Spring Short-Sleeve Diamond Print Top or Capris,sale
c5b7ae1349832bdd38a0de291472821f,pp5006790251,Alfred Dunner® Feels Like Spring Short-Sleeve Diamond Print Top or Capris,sale
36f3fd5978ed6e8a87908a942bab3777,pp5006790548,Danny & Nicole® Sleeveless Lace Fit-and-Flare Dress,lace dresses
fe031e524ec46b8654c581b11d9bffc1,pp5007090115,Danny & Nicole® Sleeveless Lace Fit-and-Flare Dress,dresses
0e4defab33c9938ea1d39db83ace7ed3,pp5007010088,Danny & Nicole® Sleeveless Lace Vertical Seam Fit-and-Flare Dress,church dresses
30fb0695f579914d85ba7ce2a3ed3c19,pp5006334416,Danny & Nicole® Sleeveless Mesh Shantung Polka Dot Fit-and-Flare Dress - Petite,fit and flare
8056738ccd769ed459febd2fafe5dc3b,pp5006790562,Danny & Nicole® Sleeveless Polka Dot Chiffon Maxi Dress,HIDDEN CATEGORIES
84792abb02bf781ac8171d8360f1e19c,pp5006292203,Danny & Nicole® Sleeveless Polka Dot Fit-and-Flare Dress - Petite,fit and flare dresses
6c2c127f31a8041031cb719d58bebf22,pp5007220049,Danny & Nicole® Sleeveless Printed Fit-and-Flare Dress - Plus,dresses
ef74082305ac60389782f5884b3611af,pp5007220049,Danny & Nicole® Sleeveless Printed Fit-and-Flare Dress - Plus,view all
bbc47b4cdcb325ec3a8ec87bb9438293,pp5007220049,Danny & Nicole® Sleeveless Printed Fit-and-Flare Dress - Plus,new arrivals
c3d28e645f687d737fa9b3d17764b705,pp5007220049,Danny & Nicole® Sleeveless Printed Fit-and-Flare Dress - Plus,fit and flare dresses
835c3bbfa421381f02f73db30820d34f,pp5007220049,Danny & Nicole® Sleeveless Printed Fit-and-Flare Dress - Plus,fit and flare dresses
acd0853b5f9e0b169f0466ee80d4e073,pp5007220049,Danny & Nicole® Sleeveless Printed Fit-and-Flare Dress - Plus,sale
666d93e3a7a161a22ed64ef1f582bf0d,pp5007220049,Danny & Nicole® Sleeveless Printed Fit-and-Flare Dress - Plus,sale
716e79c65da341c8cc2303d8fe8b7c6f,pp5007220049,Danny & Nicole® Sleeveless Printed Fit-and-Flare Dress - Plus,sale
f9c292761fb23c61cd18a41bc80a1177,pp5007220049,Danny & Nicole® Sleeveless Printed Fit-and-Flare Dress - Plus,deals
eb3bf2535cbaea960691a81ca0653a98,pp5006291887,Danny & Nicole® Sleeveless Printed Fit-and-Flare Dress,view all brands
0c2c7e597d721d751f45336e02e7d94d,pp5006311052,Danny & Nicole® Sleeveless Printed Fit-and-Flare Dress,view all
3a7806386f73e18a40c55aaf4c0f5020,pp5006311052,Danny & Nicole® Sleeveless Printed Fit-and-Flare Dress,view all brands
29fcae8701318a3be17491cd49d6c7d5,pp5006311052,Danny & Nicole® Sleeveless Printed Fit-and-Flare Dress,fit and flare dresses
e3b54a180e329d2f655e39e7a979afa6,pp5006311040,Danny & Nicole® Sleeveless Shantung Party Dress,view all
8d1c34fc14500c7113c9b8c82f949814,pp5006311040,Danny & Nicole® Sleeveless Shantung Party Dress,view all brands
fcad39742256bf1e3bbb71d347155f55,pp5007320166,Danny & Nicole® Sleeveless Striped Colorblock Fit-and-Flare Dress,view all
bd9e286340e9edf23465b7337602ff75,pp5007320166,Danny & Nicole® Sleeveless Striped Colorblock Fit-and-Flare Dress,dresses
0d5e3ea4829b4b3020a7e207a16b86a3,pp5007320166,Danny & Nicole® Sleeveless Striped Colorblock Fit-and-Flare Dress,new arrivals
db4517bd1b163f8d3b74a9ed31f1e729,pp5007320166,Danny & Nicole® Sleeveless Striped Colorblock Fit-and-Flare Dress,fit and flare dresses
66196669114799e6c14af90e3ad90383,pp5007320166,Danny & Nicole® Sleeveless Striped Colorblock Fit-and-Flare Dress,fit and flare dresses
5e875ccc177cd67dfbf4ab67ce885423,pp5007320166,Danny & Nicole® Sleeveless Striped Colorblock Fit-and-Flare Dress,view all brands
703ef6354e20ac474abcbc2bae0992e0,pp5007320166,Danny & Nicole® Sleeveless Striped Colorblock Fit-and-Flare Dress,view all
170062a9735ce152d16674303ee1adc5,pp5007320166,Danny & Nicole® Sleeveless Striped Colorblock Fit-and-Flare Dress,view all
962e6fd084c0777f04e1a1136944bc65,pp5007320166,Danny & Nicole® Sleeveless Striped Colorblock Fit-and-Flare Dress,dresses
15e0ab0273b9ab3b68af05c07d78e90f,pp5007320166,Danny & Nicole® Sleeveless Striped Colorblock Fit-and-Flare Dress,dresses
1d448fa0665ae1b17590810eb087fb1b,pp5006334382,Danny & Nicole® Sleeveless Striped Fit-and-Flare Dress - Petite,fit and flare
4703811451655ba1e298953ac2e1a098,pp5006334382,Danny & Nicole® Sleeveless Striped Fit-and-Flare Dress - Petite,fit and flare
ab377f6655909713cf6c516a77a4473a,pp5006081664,Danny & Nicole® Sleeveless Striped Shantung Fit-and-Flare Dress - Petite,church dresses
e6d507d37586b24d789006129520d78e,pp5007150083,Danny & Nicole® Sleeveless Stripe Fit-and-Flare Dress - Plus,dresses
bb95c76db841e59342547712ddf8f5f9,pp5007150083,Danny & Nicole® Sleeveless Stripe Fit-and-Flare Dress - Plus,view all
73897029b6b934b725bc2ea7febf4209,pp5007150083,Danny & Nicole® Sleeveless Stripe Fit-and-Flare Dress - Plus,view all
b7800752e45cdfe72cdb8e3629e9e6fd,1796869,Dan Post® Genuine Teju Lizard Boots,casual boots
1da4f72882e8b91189342aa912ed45a3,pp5005740108,Azul by Maxine of Hollywood Flyaway Tankini Swim Top,azul
d1c28131b81aee7e2daf76ffe3cf6a73,pp5006830284,Azul By Maxine Of Hollywood Foiled Again Empire-Waist Swimdress - Plus,swimsuits
d1cd9e562123c8756d26e752ce4b8713,pp5006830284,Azul By Maxine Of Hollywood Foiled Again Empire-Waist Swimdress - Plus,one pieces
162623a600fb4859e6877208ea81a441,pp5006830279,Azul By Maxine Of Hollywood Foiled Again Shirred 1-pc. Swimsuit,women's swimwear
2d5c82250fb86d9c60f79b0074a7db8f,pp5005850775,Azul by Maxine of Hollywood Print 1-Piece Swimdress - Plus,swimsuits
8c073afaee23ee8233664dd46d00d315,pp5005850775,Azul by Maxine of Hollywood Print 1-Piece Swimdress - Plus,azul
e7e6f68fb989173165db8db59f05eabb,pp5005850777,Azul by Maxine of Hollywood Print 1-Piece Swimdress - Plus,one pieces
703397740f5641042c1ef9e958387058,pp5005850777,Azul by Maxine of Hollywood Print 1-Piece Swimdress - Plus,view all brands
dbd13ca0ff2556e933e0e082ff8e22b4,pp5005850777,Azul by Maxine of Hollywood Print 1-Piece Swimdress - Plus,azul
eb94955699d566447cc73a5eef833e97,pp5005710075,Azul by Maxine of Hollywood Print 1-Piece Swimdress,women
37305a66af036c79914b87019e76895a,pp5005710076,Azul by Maxine of Hollywood Print 1-Piece Swimdress,women
4efca310d907bbac13d3562a8a4f6dfb,pp5005710039,Azul by Maxine of Hollywood Print Tankini Swim Top or Solid Bottoms,view all brands
a5bbec3e96bebc1a3f7664cb9f3c5e9e,pp5005790447,Azul by Maxine of Hollywood Shirred-Front 1-Piece Swimsuit - Plus,one pieces
4020078ec2d23a606bbaf015d4ba95b5,pp5005710134,Azul by Maxine of Hollywood Shirred-Front Girl-Leg 1-Piece Swimsuit - Plus,swimsuits & cover-ups
2eb41c89edb597299c9aab1728480b58,pp5005791625,Azul by Maxine of Hollywood Shirred-Front Spa 1-Piece Swimsuit,women's swimwear
9efc48aa03dbf453b1ab8bebf9703f2b,pp5005791625,Azul by Maxine of Hollywood Shirred-Front Spa 1-Piece Swimsuit,2-day deals
7743f9a716e7fc9d9b587c6bb36c0c6f,pp5005791625,Azul by Maxine of Hollywood Shirred-Front Spa 1-Piece Swimsuit,women
76dd97af00d0f7a2876771e9312b6db6,pp5005710040,Azul by Maxine of Hollywood Solid Hipster Swim Bottoms,jcpenney black friday sale
bedfb79e102d86559353d42ab8733c01,pp5005710040,Azul by Maxine of Hollywood Solid Hipster Swim Bottoms,azul
228e5c25e0eda6693ac8bf220af0ec16,pp5006830157,Azul By Maxine Of Hollywood® Stripe It Or Not Bandeau Blouson Tankini Swim Top or Hipster Swim Bottoms - Plus,view all
25c9659a5b2f162ce345da75c034bcce,pp5006830157,Azul By Maxine Of Hollywood® Stripe It Or Not Bandeau Blouson Tankini Swim Top or Hipster Swim Bottoms - Plus,swimsuits & cover-ups
0bda51a25371200b67976de0d32bc558,pp5006830157,Azul By Maxine Of Hollywood® Stripe It Or Not Bandeau Blouson Tankini Swim Top or Hipster Swim Bottoms - Plus,women's swimwear
8ef63d37b105184c431aeb7a5abdd61b,pp5006830157,Azul By Maxine Of Hollywood® Stripe It Or Not Bandeau Blouson Tankini Swim Top or Hipster Swim Bottoms - Plus,women's swimwear
89d2894a56e35275f217a4499072a31a,pp5006830157,Azul By Maxine Of Hollywood® Stripe It Or Not Bandeau Blouson Tankini Swim Top - Plus,view all brands
613a9e7635c7fa1bac23dd91f07e103f,pp5005740108,Azul by Maxine of Hollywood Tankini Swim Top or Skirted Bottoms,view all
9ad448cd4c44412a6998dcd168aec826,pp5005740108,Azul by Maxine of Hollywood Tankini Swim Top or Skirted Bottoms,view all brands
b5906363d3e89e99ee88172b0cfe182d,pp5005900266,Azul by Maxine of Hollywood Tiered Tankini Swim Top or Boardshorts - Plus,view all
062ab2af65b02f59f96b79f9cd359f36,pp5005900266,Azul by Maxine of Hollywood Tiered Tankini Swim Top or Boardshorts - Plus,azul
ac9d98ab87378d3b1a25f694dcd03107,pp5005900266,Azul by Maxine of Hollywood Tiered Tankini Swim Top or Hipster Bottoms - Plus,sale
d1139bcf9e21090f71d259b597a0da2b,pp5005900266,Azul by Maxine of Hollywood Tiered Tankini Swim Top or Hipster Bottoms - Plus,plus size
e02d613c45a64599b9eb958af21943da,pp5006830283,Azul by Maxine Of Hollywood Tropi-Call Me Faux-Skirtini Swimdress - Plus,azul
7ca74b9d3ed97595a8f6451737094529,pp5006830278,Azul by Maxine Of Hollywood Tropi-Call Me Faux-Skirtini Swimdress,view all
1c702121fc0fcdb4a1fff5c533c1dcf1,pp5006830278,Azul by Maxine Of Hollywood Tropi-Call Me Faux-Skirtini Swimdress,women
09faaf6ed722ff95e50088aebfcae8f3,pp5006830278,Azul by Maxine Of Hollywood Tropi-Call Me Faux-Skirtini Swimdress,azul
418b09dd3c4345df2fdc0953273e86a6,pp5006830278,Azul by Maxine Of Hollywood Tropi-Call Me Faux-Skirtini Swimdress,swim dress
3fec42094939f5b87613feccc905bb20,pp5003630011,Azzure 2-Pack Decorative Pillows,pillows & throws
c76edc8bfedb9dd4bff41926b4aa70e2,pp5006332016,"Babbitt 44"" Glass Corner TV Stand",tv stands
02d3a51e6d8d16408f69f74c9c39f171,pp5006460431,Baby B’gosh® 2-pc. Embroidered Babydoll Set - Baby Girls newborn-24m,clothing sets
39edde5d2f290778f3bb3709cd743e35,pp5006460450,Baby B’gosh® Anchor Print Bodysuit - Baby Boys newborn-24m,oshkosh b'gosh
